Latitude (decimal degrees):	10.738
Longitude (decimal degrees):	122.543
Elevation (m):	10
Radiation database:	PVGIS-ERA5


Slope: - deg. 
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200102:0730,625.65,789.29,27.28,28.41,8.62,0.0
20200102:0830,541.09,678.91,14.51,28.06,7.79,0.0
20200102:0930,0.29,6.71,1.19,27.44,7.1,0.0
20200102:1030,0.0,0.0,0.0,26.72,7.03,0.0
20200102:1130,0.0,0.0,0.0,26.31,7.38,0.0
20200102:1230,0.0,0.0,0.0,26.1,7.38,0.0
20200102:1330,0.0,0.0,0.0,25.96,7.24,0.0
20200102:1430,0.0,0.0,0.0,25.83,7.24,0.0
20200102:1530,0.0,0.0,0.0,25.7,7.31,0.0
20200102:1630,0.0,0.0,0.0,25.48,7.24,0.0
20200102:1730,0.0,0.0,0.0,25.21,7.24,0.0
20200102:1830,0.0,0.0,0.0,24.97,7.17,0.0
20200102:1930,0.0,0.0,0.0,24.89,7.66,0.0
20200102:2030,0.0,0.0,0.0,24.73,7.24,0.0
20200102:2130,0.0,0.0,0.0,24.64,6.83,0.0
20200102:2230,139.11,181.53,4.03,24.66,6.55,0.0
20200102:2330,217.53,276.14,17.25,24.81,6.48,0.0
20200103:0030,388.17,482.08,29.81,25.18,7.1,0.0
20200103:0130,505.81,630.73,41.3,25.78,7.1,0.0
20200103:0230,523.11,657.41,50.62,26.55,7.03,0.0
20200103:0330,557.52,702.88,55.92,26.8,7.17,0.0
20200103:0430,574.4,723.67,55.3,26.9,7.86,0.0
20200103:0530,567.3,713.42,49.04,27.02,7.86,0.0
20200103:0630,524.29,657.45,39.18,27.35,7.86,0.0
20200103:0730,559.44,698.14,27.41,26.82,8.0,0.0
20200103:0830,241.92,304.63,14.64,26.5,8.07,0.0
20200103:0930,0.0,5.41,1.31,25.66,7.52,0.0
20200103:1030,0.0,0.0,0.0,25.26,7.1,0.0
20200103:1130,0.0,0.0,0.0,25.15,6.97,0.0
20200103:1230,0.0,0.0,0.0,25.24,7.03,0.0
20200103:1330,0.0,0.0,0.0,25.09,6.76,0.0
20200103:1430,0.0,0.0,0.0,25.13,6.48,0.0
20200103:1530,0.0,0.0,0.0,25.06,6.41,0.0
20200103:1630,0.0,0.0,0.0,25.05,6.41,0.0
20200103:1730,0.0,0.0,0.0,24.73,6.14,0.0
20200103:1830,0.0,0.0,0.0,24.6,6.14,0.0
20200103:1930,0.0,0.0,0.0,24.52,6.07,0.0
20200103:2030,0.0,0.0,0.0,24.4,6.55,0.0
20200103:2130,0.0,0.0,0.0,24.24,6.83,0.0
20200103:2230,131.06,172.03,3.95,24.36,7.03,0.0
20200103:2330,399.63,492.41,17.19,24.39,6.55,0.0
20200104:0030,437.43,540.01,29.77,24.76,7.24,0.0
20200104:0130,591.54,739.06,41.29,25.44,7.24,0.0
20200104:0230,715.73,907.51,50.64,26.23,7.38,0.0
20200104:0330,646.0,814.83,56.0,26.69,8.07,0.0
20200104:0430,561.4,706.39,55.43,27.14,8.07,0.0
20200104:0530,642.92,809.23,49.18,26.84,8.21,0.0
20200104:0630,653.45,820.88,39.32,26.86,8.41,0.0
20200104:0730,520.86,648.67,27.55,26.81,8.14,0.0
20200104:0830,429.93,533.77,14.76,26.5,7.17,0.0
20200104:0930,0.06,6.02,1.43,26.02,6.76,0.0
20200104:1030,0.0,0.0,0.0,25.54,5.79,0.0
20200104:1130,0.0,0.0,0.0,25.06,5.59,0.0
20200104:1230,0.0,0.0,0.0,24.86,5.66,0.0
20200104:1330,0.0,0.0,0.0,24.84,5.86,0.0
20200104:1430,0.0,0.0,0.0,24.65,6.34,0.0
20200104:1530,0.0,0.0,0.0,24.57,6.83,0.0
20200104:1630,0.0,0.0,0.0,24.67,6.9,0.0
20200104:1730,0.0,0.0,0.0,24.67,6.76,0.0
20200104:1830,0.0,0.0,0.0,24.61,6.69,0.0
20200104:1930,0.0,0.0,0.0,24.64,6.48,0.0
20200104:2030,0.0,0.0,0.0,24.52,6.62,0.0
20200104:2130,0.0,0.0,0.0,24.6,6.62,0.0
20200104:2230,309.15,382.03,3.87,24.65,6.34,0.0
20200104:2330,551.02,685.84,17.13,24.82,6.21,0.0
20200105:0030,534.77,665.82,29.74,25.65,7.31,0.0
20200105:0130,700.87,888.59,41.28,26.57,7.52,0.0
20200105:0230,744.04,950.88,50.68,27.24,7.59,0.0
20200105:0330,701.74,896.74,56.08,27.89,7.45,0.0
20200105:0430,656.47,836.66,55.56,28.14,7.24,0.0
20200105:0530,618.18,784.91,49.33,28.14,7.17,0.0
20200105:0630,615.76,779.5,39.47,28.05,7.45,0.0
20200105:0730,557.43,699.46,27.68,27.53,7.66,0.0
20200105:0830,469.9,583.83,14.89,27.03,7.79,0.0
20200105:0930,0.06,6.03,1.55,26.14,6.9,0.0
20200105:1030,0.0,0.0,0.0,25.52,6.83,0.0
20200105:1130,0.0,0.0,0.0,25.22,7.03,0.0
20200105:1230,0.0,0.0,0.0,25.08,6.83,0.0
20200105:1330,0.0,0.0,0.0,24.96,6.97,0.0
20200105:1430,0.0,0.0,0.0,24.92,6.83,0.0
20200105:1530,0.0,0.0,0.0,24.76,6.69,0.0
20200105:1630,0.0,0.0,0.0,24.7,6.41,0.0
20200105:1730,0.0,0.0,0.0,24.68,6.48,0.0
20200105:1830,0.0,0.0,0.0,24.57,6.69,0.0
20200105:1930,0.0,0.0,0.0,24.65,6.28,0.0
20200105:2030,0.0,0.0,0.0,24.57,6.14,0.0
20200105:2130,0.0,0.0,0.0,24.6,6.14,0.0
20200105:2230,236.88,296.02,3.8,24.5,6.07,0.0
20200105:2330,251.16,315.34,17.07,24.63,6.14,0.0
20200106:0030,530.65,661.87,29.7,25.13,6.07,0.0
20200106:0130,547.88,684.17,41.28,25.92,7.31,0.0
20200106:0230,596.56,749.43,50.72,26.24,7.66,0.0
20200106:0330,697.85,884.36,56.18,26.82,7.93,0.0
20200106:0430,724.67,924.48,55.7,27.37,7.79,0.0
20200106:0530,580.22,730.8,49.48,27.69,7.79,0.0
20200106:0630,624.5,789.53,39.61,27.72,7.72,0.0
20200106:0730,553.56,694.48,27.82,27.72,7.86,0.0
20200106:0830,398.23,495.54,15.02,27.19,7.59,0.0
20200106:0930,0.09,6.1,1.67,26.31,6.69,0.0
20200106:1030,0.0,0.0,0.0,25.53,6.28,0.0
20200106:1130,0.0,0.0,0.0,25.26,5.93,0.0
20200106:1230,0.0,0.0,0.0,25.31,6.48,0.0
20200106:1330,0.0,0.0,0.0,25.16,6.41,0.0
20200106:1430,0.0,0.0,0.0,25.04,5.86,0.0
20200106:1530,0.0,0.0,0.0,24.82,5.72,0.0
20200106:1630,0.0,0.0,0.0,24.69,5.59,0.0
20200106:1730,0.0,0.0,0.0,24.64,5.31,0.0
20200106:1830,0.0,0.0,0.0,24.57,5.1,0.0
20200106:1930,0.0,0.0,0.0,24.68,4.9,0.0
20200106:2030,0.0,0.0,0.0,24.55,4.69,0.0
20200106:2130,0.0,0.0,0.0,24.54,4.69,0.0
20200106:2230,160.12,206.99,3.73,24.58,4.69,0.0
20200106:2330,331.15,412.84,17.02,24.73,4.9,0.0
20200107:0030,588.71,740.84,29.68,25.32,5.72,0.0
20200107:0130,686.74,876.39,41.28,26.25,6.21,0.0
20200107:0230,616.58,783.44,50.76,26.89,6.41,0.0
20200107:0330,723.38,931.83,56.28,27.34,6.34,0.0
20200107:0430,551.03,698.64,55.84,27.94,6.48,0.0
20200107:0530,605.8,775.17,49.64,27.76,6.14,0.0
20200107:0630,687.38,881.32,39.77,27.86,6.34,0.0
20200107:0730,564.38,718.75,27.97,28.11,5.59,0.0
20200107:0830,302.47,382.37,15.15,27.72,5.45,0.0
20200107:0930,1.35,9.32,1.79,27.01,4.76,0.0
20200107:1030,0.0,0.0,0.0,26.25,4.76,0.0
20200107:1130,0.0,0.0,0.0,25.74,4.9,0.0
20200107:1230,0.0,0.0,0.0,25.45,4.9,0.0
20200107:1330,0.0,0.0,0.0,25.23,4.69,0.0
20200107:1430,0.0,0.0,0.0,25.16,4.62,0.0
20200107:1530,0.0,0.0,0.0,25.04,4.69,0.0
20200107:1630,0.0,0.0,0.0,24.89,4.83,0.0
20200107:1730,0.0,0.0,0.0,24.89,5.03,0.0
20200107:1830,0.0,0.0,0.0,24.8,5.03,0.0
20200107:1930,0.0,0.0,0.0,24.82,4.9,0.0
20200107:2030,0.0,0.0,0.0,24.64,4.62,0.0
20200107:2130,0.0,0.0,0.0,24.49,4.41,0.0
20200107:2230,105.1,142.52,3.67,24.42,4.41,0.0
20200107:2330,280.79,353.18,16.97,24.6,4.55,0.0
20200108:0030,442.75,556.55,29.65,25.48,4.9,0.0
20200108:0130,542.18,687.43,41.29,26.4,5.52,0.0
20200108:0230,648.34,836.73,50.82,27.15,5.1,0.0
20200108:0330,680.7,884.71,56.39,27.94,5.17,0.0
20200108:0430,687.22,894.33,55.99,28.46,5.31,0.0
20200108:0530,697.71,906.52,49.8,28.61,5.66,0.0
20200108:0630,726.91,943.36,39.92,28.64,6.07,0.0
20200108:0730,571.5,723.74,28.11,28.08,6.55,0.0
20200108:0830,532.94,671.56,15.29,27.53,6.0,0.0
20200108:0930,0.49,7.22,1.91,26.81,5.31,0.0
20200108:1030,0.0,0.0,0.0,25.9,5.03,0.0
20200108:1130,0.0,0.0,0.0,25.3,5.03,0.0
20200108:1230,0.0,0.0,0.0,25.04,5.24,0.0
20200108:1330,0.0,0.0,0.0,24.97,5.38,0.0
20200108:1430,0.0,0.0,0.0,24.92,5.31,0.0
20200108:1530,0.0,0.0,0.0,24.83,5.52,0.0
20200108:1630,0.0,0.0,0.0,24.85,5.72,0.0
20200108:1730,0.0,0.0,0.0,24.96,6.0,0.0
20200108:1830,0.0,0.0,0.0,25.15,6.07,0.0
20200108:1930,0.0,0.0,0.0,25.16,6.21,0.0
20200108:2030,0.0,0.0,0.0,25.22,6.14,0.0
20200108:2130,0.0,0.0,0.0,25.21,6.14,0.0
20200108:2230,66.08,95.89,3.6,25.28,6.14,0.0
20200108:2330,372.75,462.12,16.93,25.39,6.14,0.0
20200109:0030,416.9,520.08,29.63,25.96,6.21,0.0
20200109:0130,482.36,602.79,41.3,26.43,6.76,0.0
20200109:0230,609.87,769.41,50.88,26.97,7.03,0.0
20200109:0330,618.63,783.01,56.51,27.66,7.24,0.0
20200109:0430,601.21,761.61,56.15,28.09,7.38,0.0
20200109:0530,640.75,815.16,49.96,28.18,7.24,0.0
20200109:0630,276.02,351.17,40.08,28.14,7.1,0.0
20200109:0730,446.2,559.73,28.25,27.27,6.21,0.0
20200109:0830,303.22,381.0,15.42,27.18,6.14,0.0
20200109:0930,0.19,6.4,2.03,26.68,5.52,0.0
20200109:1030,0.0,0.0,0.0,26.17,5.38,0.0
20200109:1130,0.0,0.0,0.0,25.9,5.45,0.0
20200109:1230,0.0,0.0,0.0,25.66,5.52,0.0
20200109:1330,0.0,0.0,0.0,25.54,5.72,0.0
20200109:1430,0.0,0.0,0.0,25.38,5.86,0.0
20200109:1530,0.0,0.0,0.0,25.25,6.0,0.0
20200109:1630,0.0,0.0,0.0,25.12,6.0,0.0
20200109:1730,0.0,0.0,0.0,24.99,6.0,0.0
20200109:1830,0.0,0.0,0.0,24.82,5.93,0.0
20200109:1930,0.0,0.0,0.0,24.79,6.07,0.0
20200109:2030,0.0,0.0,0.0,24.71,5.93,0.0
20200109:2130,0.0,0.0,0.0,24.6,5.86,0.0
20200109:2230,330.06,407.25,3.54,24.52,6.0,0.0
20200109:2330,546.78,680.58,16.88,24.8,6.07,0.0
20200110:0030,623.38,782.46,29.62,25.64,6.83,0.0
20200110:0130,673.8,850.69,41.32,26.65,7.86,0.0
20200110:0230,718.24,916.26,50.94,27.5,7.86,0.0
20200110:0330,703.12,898.32,56.63,28.19,7.72,0.0
20200110:0430,689.52,883.93,56.31,28.59,7.52,0.0
20200110:0530,672.13,861.53,50.14,28.67,7.1,0.0
20200110:0630,621.52,793.76,40.24,28.59,6.83,0.0
20200110:0730,656.58,840.58,28.4,28.34,6.48,0.0
20200110:0830,448.34,563.28,15.55,27.96,6.28,0.0
20200110:0930,0.87,8.19,2.16,27.17,5.59,0.0
20200110:1030,0.0,0.0,0.0,26.28,5.45,0.0
20200110:1130,0.0,0.0,0.0,25.89,5.38,0.0
20200110:1230,0.0,0.0,0.0,25.46,5.38,0.0
20200110:1330,0.0,0.0,0.0,25.25,5.59,0.0
20200110:1430,0.0,0.0,0.0,25.06,5.93,0.0
20200110:1530,0.0,0.0,0.0,24.74,5.79,0.0
20200110:1630,0.0,0.0,0.0,24.61,5.45,0.0
20200110:1730,0.0,0.0,0.0,24.51,5.24,0.0
20200110:1830,0.0,0.0,0.0,24.52,5.24,0.0
20200110:1930,0.0,0.0,0.0,24.64,4.9,0.0
20200110:2030,0.0,0.0,0.0,24.6,5.03,0.0
20200110:2130,0.0,0.0,0.0,24.5,5.1,0.0
20200110:2230,310.58,384.29,3.49,24.43,5.31,0.0
20200110:2330,493.88,614.44,16.84,24.61,5.17,0.0
20200111:0030,513.92,641.42,29.61,25.42,5.93,0.0
20200111:0130,683.37,868.96,41.34,26.29,6.28,0.0
20200111:0230,645.95,821.94,51.01,27.23,6.55,0.0
20200111:0330,705.43,905.16,56.76,27.86,6.69,0.0
20200111:0430,567.86,722.62,56.48,28.24,6.76,0.0
20200111:0530,667.23,856.2,50.31,28.3,6.62,0.0
20200111:0630,666.98,855.41,40.4,28.42,6.48,0.0
20200111:0730,616.76,789.43,28.55,28.44,5.86,0.0
20200111:0830,508.15,642.88,15.69,28.14,5.52,0.0
20200111:0930,1.24,9.06,2.28,27.35,4.83,0.0
20200111:1030,0.0,0.0,0.0,26.34,4.83,0.0
20200111:1130,0.0,0.0,0.0,25.78,5.03,0.0
20200111:1230,0.0,0.0,0.0,25.46,4.97,0.0
20200111:1330,0.0,0.0,0.0,25.23,4.76,0.0
20200111:1430,0.0,0.0,0.0,25.1,4.83,0.0
20200111:1530,0.0,0.0,0.0,25.03,4.97,0.0
20200111:1630,0.0,0.0,0.0,24.96,5.03,0.0
20200111:1730,0.0,0.0,0.0,24.8,5.1,0.0
20200111:1830,0.0,0.0,0.0,24.62,5.1,0.0
20200111:1930,0.0,0.0,0.0,24.52,4.48,0.0
20200111:2030,0.0,0.0,0.0,24.51,4.41,0.0
20200111:2130,0.0,0.0,0.0,24.36,4.28,0.0
20200111:2230,262.71,327.81,3.43,24.26,4.28,0.0
20200111:2330,401.33,500.19,16.81,24.53,4.21,0.0
20200112:0030,556.8,702.33,29.6,25.48,4.9,0.0
20200112:0130,538.02,677.76,41.37,26.32,6.21,0.0
20200112:0230,695.13,890.26,51.09,26.91,6.34,0.0
20200112:0330,622.19,793.72,56.9,27.6,6.48,0.0
20200112:0430,582.13,740.18,56.66,27.91,6.62,0.0
20200112:0530,467.4,589.53,50.49,27.77,7.03,0.0
20200112:0630,335.62,423.0,40.57,27.36,6.34,0.0
20200112:0730,249.93,319.15,28.7,27.09,5.24,0.0
20200112:0830,192.02,248.43,15.82,26.7,4.97,0.0
20200112:0930,46.79,72.92,2.4,26.27,4.41,0.0
20200112:1030,0.0,0.0,0.0,25.82,4.0,0.0
20200112:1130,0.0,0.0,0.0,25.58,4.0,0.0
20200112:1230,0.0,0.0,0.0,25.37,3.93,0.0
20200112:1330,0.0,0.0,0.0,25.08,3.86,0.0
20200112:1430,0.0,0.0,0.0,24.85,3.66,0.0
20200112:1530,0.0,0.0,0.0,24.66,3.38,0.0
20200112:1630,0.0,0.0,0.0,24.57,3.31,0.0
20200112:1730,0.0,0.0,0.0,24.39,3.31,0.0
20200112:1830,0.0,0.0,0.0,24.25,3.24,0.0
20200112:1930,0.0,0.0,0.0,24.21,2.69,0.0
20200112:2030,0.0,0.0,0.0,24.21,2.97,0.0
20200112:2130,0.0,0.0,0.0,24.11,3.24,0.0
20200112:2230,155.1,200.83,3.38,24.11,3.38,0.0
20200112:2330,283.14,355.04,16.78,24.41,3.79,0.0
20200113:0030,409.93,514.27,29.6,25.17,4.28,0.0
20200113:0130,400.36,504.28,41.4,26.12,4.69,0.0
20200113:0230,478.94,607.35,51.18,26.76,4.9,0.0
20200113:0330,406.82,517.32,57.04,27.54,5.24,0.0
20200113:0430,498.22,635.74,56.84,27.77,5.31,0.0
20200113:0530,586.39,752.86,50.68,27.96,5.17,0.0
20200113:0630,423.56,539.67,40.74,28.25,5.1,0.0
20200113:0730,498.75,633.38,28.85,27.88,5.1,0.0
20200113:0830,353.52,444.15,15.96,27.65,5.59,0.0
20200113:0930,215.18,273.63,2.52,27.03,5.31,0.0
20200113:1030,0.0,0.0,0.0,26.3,4.97,0.0
20200113:1130,0.0,0.0,0.0,25.79,4.62,0.0
20200113:1230,0.0,0.0,0.0,25.31,4.41,0.0
20200113:1330,0.0,0.0,0.0,25.06,4.34,0.0
20200113:1430,0.0,0.0,0.0,24.76,4.34,0.0
20200113:1530,0.0,0.0,0.0,24.56,4.41,0.0
20200113:1630,0.0,0.0,0.0,24.43,4.48,0.0
20200113:1730,0.0,0.0,0.0,24.44,4.69,0.0
20200113:1830,0.0,0.0,0.0,24.41,4.69,0.0
20200113:1930,0.0,0.0,0.0,24.55,4.48,0.0
20200113:2030,0.0,0.0,0.0,24.46,4.0,0.0
20200113:2130,0.0,0.0,0.0,24.43,3.93,0.0
20200113:2230,333.12,413.38,3.34,24.41,4.07,0.0
20200113:2330,490.96,615.17,16.75,24.66,4.07,0.0
20200114:0030,620.8,792.49,29.6,25.68,4.34,0.0
20200114:0130,642.55,817.3,41.44,26.83,6.34,0.0
20200114:0230,607.01,774.81,51.27,27.68,6.41,0.0
20200114:0330,623.7,800.51,57.19,28.18,6.21,0.0
20200114:0430,656.66,848.15,57.03,28.55,5.79,0.0
20200114:0530,682.85,884.61,50.87,28.62,5.66,0.0
20200114:0630,619.39,795.36,40.91,28.73,5.93,0.0
20200114:0730,666.27,853.72,29.01,28.2,6.28,0.0
20200114:0830,531.58,670.66,16.1,27.86,6.14,0.0
20200114:0930,372.53,465.23,2.64,27.31,5.52,0.0
20200114:1030,0.0,0.0,0.0,26.37,5.17,0.0
20200114:1130,0.0,0.0,0.0,25.79,5.17,0.0
20200114:1230,0.0,0.0,0.0,25.41,5.45,0.0
20200114:1330,0.0,0.0,0.0,25.18,5.38,0.0
20200114:1430,0.0,0.0,0.0,24.97,5.24,0.0
20200114:1530,0.0,0.0,0.0,24.85,5.1,0.0
20200114:1630,0.0,0.0,0.0,24.8,4.97,0.0
20200114:1730,0.0,0.0,0.0,24.79,5.03,0.0
20200114:1830,0.0,0.0,0.0,24.85,5.1,0.0
20200114:1930,0.0,0.0,0.0,24.92,5.1,0.0
20200114:2030,0.0,0.0,0.0,25.0,5.03,0.0
20200114:2130,0.0,0.0,0.0,25.05,5.17,0.0
20200114:2230,177.6,227.32,3.29,24.97,5.17,0.0
20200114:2330,351.52,437.3,16.73,25.08,5.31,0.0
20200115:0030,404.1,503.12,29.61,25.72,6.69,0.0
20200115:0130,607.95,766.24,41.49,26.33,6.9,0.0
20200115:0230,616.59,783.06,51.36,27.29,6.97,0.0
20200115:0330,720.03,924.25,57.35,27.89,6.97,0.0
20200115:0430,609.51,777.08,57.23,28.5,7.1,0.0
20200115:0530,491.57,620.89,51.06,28.32,7.03,0.0
20200115:0630,441.99,556.2,41.09,27.89,6.69,0.0
20200115:0730,354.84,446.4,29.16,27.44,6.83,0.0
20200115:0830,352.98,441.11,16.23,27.32,6.97,0.0
20200115:0930,95.63,131.96,2.76,26.89,6.34,0.0
20200115:1030,0.0,0.0,0.0,26.37,6.14,0.0
20200115:1130,0.0,0.0,0.0,25.94,6.07,0.0
20200115:1230,0.0,0.0,0.0,25.75,5.93,0.0
20200115:1330,0.0,0.0,0.0,25.65,5.93,0.0
20200115:1430,0.0,0.0,0.0,25.46,5.72,0.0
20200115:1530,0.0,0.0,0.0,25.37,5.59,0.0
20200115:1630,0.0,0.0,0.0,25.27,5.24,0.0
20200115:1730,0.0,0.0,0.0,25.19,4.9,0.0
20200115:1830,0.0,0.0,0.0,25.25,4.69,0.0
20200115:1930,0.0,0.0,0.0,25.51,4.62,0.0
20200115:2030,0.0,0.0,0.0,25.53,4.55,0.0
20200115:2130,0.0,0.0,0.0,25.63,4.41,0.0
20200115:2230,171.93,221.34,3.25,25.57,4.55,0.0
20200115:2330,305.61,383.77,16.71,25.68,4.48,0.0
20200116:0030,546.63,691.69,29.62,26.39,4.97,0.0
20200116:0130,588.71,747.69,41.54,27.26,6.0,0.0
20200116:0230,539.38,686.76,51.46,27.7,5.86,0.0
20200116:0330,597.23,766.1,57.51,28.13,5.86,0.0
20200116:0430,607.31,779.7,57.43,28.47,5.72,0.0
20200116:0530,540.89,693.03,51.26,28.62,5.45,0.0
20200116:0630,492.39,628.66,41.27,28.38,5.24,0.0
20200116:0730,456.87,579.93,29.32,28.33,5.38,0.0
20200116:0830,310.61,393.67,16.37,27.89,4.9,0.0
20200116:0930,40.66,65.6,2.88,27.47,4.83,0.0
20200116:1030,0.0,0.0,0.0,26.65,4.34,0.0
20200116:1130,0.0,0.0,0.0,26.1,4.69,0.0
20200116:1230,0.0,0.0,0.0,25.66,4.41,0.0
20200116:1330,0.0,0.0,0.0,25.51,4.07,0.0
20200116:1430,0.0,0.0,0.0,25.42,4.0,0.0
20200116:1530,0.0,0.0,0.0,25.31,3.93,0.0
20200116:1630,0.0,0.0,0.0,25.2,3.72,0.0
20200116:1730,0.0,0.0,0.0,25.18,3.59,0.0
20200116:1830,0.0,0.0,0.0,25.19,3.79,0.0
20200116:1930,0.0,0.0,0.0,25.04,4.0,0.0
20200116:2030,0.0,0.0,0.0,25.06,3.79,0.0
20200116:2130,0.0,0.0,0.0,25.01,3.72,0.0
20200116:2230,286.64,358.17,3.21,24.93,3.79,0.0
20200116:2330,446.85,562.27,16.69,25.14,3.45,0.0
20200117:0030,528.29,672.96,29.64,26.21,3.79,0.0
20200117:0130,701.59,917.81,41.59,27.18,4.07,0.0
20200117:0230,716.85,944.78,51.57,28.25,4.07,0.0
20200117:0330,720.88,956.67,57.68,29.02,4.0,0.0
20200117:0430,755.58,1009.29,57.64,29.64,4.14,0.0
20200117:0530,736.98,981.01,51.46,30.03,4.41,0.0
20200117:0630,607.08,790.4,41.45,30.09,4.76,0.0
20200117:0730,475.72,609.92,29.47,29.7,4.48,0.0
20200117:0830,494.21,631.13,16.51,29.23,4.69,0.0
20200117:0930,302.9,383.06,3.0,28.38,4.48,0.0
20200117:1030,0.0,0.0,0.0,27.36,4.14,0.0
20200117:1130,0.0,0.0,0.0,26.53,3.93,0.0
20200117:1230,0.0,0.0,0.0,26.0,4.0,0.0
20200117:1330,0.0,0.0,0.0,25.7,3.93,0.0
20200117:1430,0.0,0.0,0.0,25.48,3.86,0.0
20200117:1530,0.0,0.0,0.0,25.32,3.66,0.0
20200117:1630,0.0,0.0,0.0,25.12,3.72,0.0
20200117:1730,0.0,0.0,0.0,24.99,3.66,0.0
20200117:1830,0.0,0.0,0.0,24.83,3.66,0.0
20200117:1930,0.0,0.0,0.0,24.8,4.0,0.0
20200117:2030,0.0,0.0,0.0,24.75,4.0,0.0
20200117:2130,0.0,0.0,0.0,24.79,3.93,0.0
20200117:2230,187.35,239.17,3.18,24.74,3.86,0.0
20200117:2330,491.04,618.64,16.68,25.0,3.66,0.0
20200118:0030,589.76,749.76,29.66,26.09,4.55,0.0
20200118:0130,624.05,799.75,41.65,27.13,4.97,0.0
20200118:0230,675.72,873.88,51.69,27.79,5.1,0.0
20200118:0330,579.52,745.56,57.86,28.52,5.38,0.0
20200118:0430,644.35,834.63,57.85,28.86,5.38,0.0
20200118:0530,614.88,793.34,51.67,29.05,5.38,0.0
20200118:0630,530.29,677.3,41.63,28.82,5.38,0.0
20200118:0730,519.9,663.82,29.63,28.78,4.97,0.0
20200118:0830,296.34,375.24,16.64,28.23,5.1,0.0
20200118:0930,245.71,312.03,3.12,27.81,4.41,0.0
20200118:1030,0.0,0.0,0.0,26.93,4.21,0.0
20200118:1130,0.0,0.0,0.0,26.18,4.34,0.0
20200118:1230,0.0,0.0,0.0,25.63,4.55,0.0
20200118:1330,0.0,0.0,0.0,25.23,4.62,0.0
20200118:1430,0.0,0.0,0.0,25.03,4.55,0.0
20200118:1530,0.0,0.0,0.0,25.01,4.41,0.0
20200118:1630,0.0,0.0,0.0,24.99,4.28,0.0
20200118:1730,0.0,0.0,0.0,24.89,4.28,0.0
20200118:1830,0.0,0.0,0.0,24.86,4.34,0.0
20200118:1930,0.0,0.0,0.0,24.75,4.21,0.0
20200118:2030,0.0,0.0,0.0,24.67,4.14,0.0
20200118:2130,0.0,0.0,0.0,24.64,4.14,0.0
20200118:2230,277.76,346.39,3.15,24.62,4.07,0.0
20200118:2330,410.11,513.0,16.67,24.82,3.93,0.0
20200119:0030,547.77,691.58,29.68,25.7,4.83,0.0
20200119:0130,655.05,843.21,41.72,26.8,4.76,0.0
20200119:0230,655.86,850.99,51.8,27.76,4.48,0.0
20200119:0330,683.49,894.83,58.04,28.3,4.41,0.0
20200119:0430,634.97,829.92,58.07,28.91,4.34,0.0
20200119:0530,627.38,816.92,51.88,29.01,4.34,0.0
20200119:0630,614.03,794.76,41.81,28.79,4.62,0.0
20200119:0730,491.82,622.91,29.79,28.26,5.79,0.0
20200119:0830,426.98,534.86,16.78,27.72,6.14,0.0
20200119:0930,268.93,337.9,3.24,27.21,6.0,0.0
